"PLAYER NAME","OPP","KICKOFF","WX","SPREAD","O/U","PRED SCORE","PROJ RANK","$ RANK","RANK DIFF","PROJ PTS","SALARY","CPP","PROJ ROSTER %"
"Pittsburgh Steelers (PIT - DST)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","3","3","0","8.1","$4,600","$570","0%-"
"Romeo Doubs (GB - WR)","DET","Sun 4:25PM","","GB -2","47","24.5","38","40","2","8.1","$5,200","$642","0%-"
"Philadelphia Eagles (PHI - DST)","DAL","Thu 8:20PM","","PHI -7","46.5","27","0","0","0","8.1","$7,800","$968","5-10%-"
"Rashod Bateman (BAL - WR)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","8.1","$5,500","$679","0%-"
"Minnesota Vikings (MIN - DST)","@CHI","Mon 8:15PM","","MIN -1.5","44","23","0","0","0","8.0","$4,100","$510","0%-"
"Zach Charbonnet (SEA - RB)","SF","Sun 4:05PM","","SF -2","43.5","21","29","40","11","7.9","$4,900","$616","0%"
"Jake Elliott (PHI - K)","DAL","Thu 8:20PM","","PHI -7","46.5","27","2","194","+192","7.9","$5,800","$733","0%-"
"Marquise Brown (KC - WR)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","7.9","$5,500","$693","1-5%-"
"Darnell Mooney (ATL - WR) Q","TB","Sun 1:00PM","","TB -1.5","47.5","23","39","27","-12","7.8","$5,800","$748","1-5%-"
"Dylan Sampson (CLE - RB)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","30","52","22","7.8","$4,600","$589","10-20%"
"Washington Commanders (WAS - DST)","NYG","Sun 1:00PM","","WAS -6","45.5","26","4","2","-2","7.7","$4,700","$612","0%-"
"Evan Engram (DEN - TE)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","6","7","1","7.7","$5,300","$685","0%-"
"Jayden Reed (GB - WR) Q","DET","Sun 4:25PM","","GB -2","47","24.5","40","28","-12","7.7","$5,800","$752","0%-"
"Kaleb Johnson (PIT - RB)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","31","28","-3","7.7","$5,500","$717","0%"
"San Francisco 49ers (SF - DST)","@SEA","Sun 4:05PM","","SF -2","43.5","23","5","5","0","7.6","$4,400","$578","0%-"
"Xavier Legette (CAR - WR)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","41","69","28","7.6","$4,800","$628","0%-"
"Tucker Kraft (GB - TE)","DET","Sun 4:25PM","","GB -2","47","24.5","7","9","2","7.5","$5,200","$695","0%-"
"Tyler Warren (IND - TE)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","8","11","3","7.4","$5,100","$690","0%-"
"Dallas Goedert (PHI - TE)","DAL","Thu 8:20PM","","PHI -7","46.5","27","0","0","0","7.4","$7,400","$1003","5-10%-"
"Rachaad White (TB - RB)","@ATL","Sun 1:00PM","","TB -1.5","47.5","24.5","32","33","1","7.3","$5,100","$695","1-5%"
"New York Jets (NYJ - DST)","PIT","Sun 1:00PM","","PIT -3","38","17.5","6","13","7","7.2","$3,600","$501","0%-"
"Los Angeles Rams (LAR - DST)","HOU","Sun 4:25PM","","LAR -3","43.5","23.5","7","12","5","7.2","$3,700","$513","0%-"
"Adam Thielen (CAR - WR)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","42","33","-9","7.2","$5,500","$764","0%-"
"Jake Ferguson (DAL - TE)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","7.2","$5,000","$696","1-5%-"
"Joshua Palmer (BUF - WR)","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","7.2","$5,100","$711","0%-"
"Houston Texans (HOU - DST)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","8","11","3","7.1","$3,800","$532","0%-"
"Hunter Henry (NE - TE)","LV","Sun 1:00PM","","NE -2.5","43.5","23","9","12","3","7.1","$5,000","$708","1-5%-"
"DeMario Douglas (NE - WR)","LV","Sun 1:00PM","","NE -2.5","43.5","23","43","77","34","7.1","$4,700","$661","1-5%-"
"Wan'Dale Robinson (NYG - WR)","@WAS","Sun 1:00PM","","WAS -6","45.5","20","44","44","0","7.0","$5,100","$728","0%-"
"Cincinnati Bengals (CIN - DST)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","9","4","-5","6.9","$4,500","$656","5-10%-"
"Kyle Pitts Sr. (ATL - TE)","TB","Sun 1:00PM","","TB -1.5","47.5","23","10","8","-2","6.9","$5,200","$757","1-5%-"
"Keenan Allen (LAC - WR)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","6.8","$6,100","$900","1-5%-"
